iter	Passed	Remaining
0	58	58902
1	59	29542
2	59	19754
3	59	14853
4	59	11922
5	60	9965
6	60	8564
7	60	7513
8	60	6698
9	61	6045
10	61	5510
11	61	5063
12	61	4688
13	62	4369
14	62	4094
15	62	3852
16	62	3636
17	63	3444
18	63	3270
19	63	3119
20	63	2982
21	64	2855
22	64	2741
23	64	2638
24	65	2539
25	65	2452
26	65	2370
27	65	2290
28	66	2216
29	66	2148
30	66	2084
31	66	2023
32	67	1967
33	67	1914
34	67	1864
35	67	1817
36	68	1773
37	68	1732
38	68	1693
39	69	1656
40	69	1621
41	69	1587
42	69	1555
43	70	1522
44	70	1492
45	70	1464
46	70	1437
47	71	1411
48	71	1386
49	71	1361
50	71	1337
51	72	1313
52	72	1291
53	72	1270
54	72	1249
55	72	1230
56	73	1211
57	73	1192
58	73	1174
59	73	1157
60	74	1140
61	74	1123
62	74	1107
63	74	1092
64	74	1077
65	75	1063
66	75	1049
67	75	1034
68	75	1020
69	75	1008
70	76	995
71	76	983
72	76	971
73	76	960
74	76	949
75	77	937
76	77	927
77	77	917
78	77	907
79	78	897
80	78	888
81	78	879
82	78	869
83	78	860
84	79	850
85	79	842
86	79	834
87	79	826
88	80	819
89	80	812
90	80	804
91	80	797
92	81	790
93	81	783
94	81	776
95	81	769
96	81	762
97	82	756
98	82	749
99	82	743
100	82	737
101	82	729
102	83	723
103	83	717
104	83	712
105	83	706
106	83	700
107	84	694
108	84	689
109	84	684
110	84	679
111	85	674
112	85	669
113	85	664
114	85	659
115	85	654
116	86	649
117	86	645
118	86	640
119	86	636
120	86	631
121	87	627
122	87	622
123	87	617
124	87	613
125	87	609
126	88	605
127	88	600
128	88	596
129	88	592
130	88	589
131	89	585
132	89	582
133	89	578
134	89	574
135	89	571
136	90	567
137	90	563
138	90	560
139	90	557
140	90	554
141	91	551
142	91	548
143	91	546
144	92	543
145	92	540
146	92	537
147	92	534
148	93	531
149	93	528
150	93	525
151	93	523
152	93	520
153	94	517
154	94	514
155	94	511
156	94	509
157	95	506
158	95	503
159	95	501
160	95	498
161	95	496
162	96	493
163	96	491
164	96	488
165	96	486
166	96	483
167	97	481
168	97	478
169	97	476
170	97	474
171	98	471
172	98	469
173	98	467
174	98	464
175	98	462
176	99	460
177	99	458
178	99	456
179	99	453
180	99	451
181	99	449
182	100	447
183	100	445
184	100	443
185	100	441
186	101	439
187	101	437
188	101	435
189	101	433
190	101	431
191	102	429
192	102	427
193	102	425
194	102	423
195	102	421
196	103	420
197	103	418
198	103	416
199	103	414
200	103	412
201	104	411
202	104	409
203	104	407
204	104	406
205	104	404
206	105	403
207	105	401
208	105	400
209	105	398
210	106	397
211	106	395
212	106	394
213	106	392
214	107	391
215	107	389
216	107	388
217	107	386
218	107	384
219	108	383
220	108	381
221	108	380
222	108	378
223	108	377
224	109	375
225	109	374
226	109	373
227	109	371
228	110	370
229	110	369
230	110	367
231	110	366
232	110	365
233	111	363
234	111	362
235	111	361
236	111	359
237	111	358
238	112	357
239	112	355
240	112	354
241	112	353
242	112	351
243	113	350
244	113	349
245	113	348
246	113	346
247	114	345
248	114	344
249	114	343
250	114	342
251	114	341
252	115	339
253	115	338
254	115	337
255	115	336
256	115	335
257	116	333
258	116	332
259	116	331
260	116	331
261	117	329
262	117	328
263	117	327
264	117	326
265	117	325
266	118	324
267	118	323
268	118	322
269	118	321
270	118	320
271	119	319
272	119	317
273	119	316
274	119	315
275	120	314
276	120	313
277	120	312
278	120	311
279	120	310
280	121	309
281	121	308
282	121	307
283	121	306
284	122	306
285	122	305
286	122	304
287	122	303
288	122	302
289	123	301
290	123	300
291	123	299
292	123	298
293	123	297
294	124	296
295	124	295
296	124	294
297	124	293
298	124	293
299	125	292
300	125	291
301	125	290
302	125	289
303	126	288
304	126	287
305	126	286
306	126	285
307	126	285
308	127	284
309	127	283
310	127	282
311	127	281
312	127	280
313	128	280
314	128	279
315	128	278
316	128	277
317	129	276
318	129	275
319	129	275
320	129	274
321	129	273
322	130	272
323	130	271
324	130	271
325	130	270
326	130	269
327	131	268
328	131	267
329	131	267
330	131	266
331	132	266
332	132	265
333	132	264
334	132	263
335	133	263
336	133	262
337	133	261
338	133	260
339	133	260
340	134	259
341	134	258
342	134	258
343	135	257
344	135	256
345	135	256
346	135	255
347	135	254
348	136	253
349	136	253
350	136	252
351	136	251
352	136	250
353	137	250
354	137	249
355	137	248
356	137	248
357	137	247
358	138	246
359	138	245
360	138	245
361	138	244
362	138	243
363	139	243
364	139	242
365	139	241
366	139	241
367	139	240
368	140	239
369	140	238
370	140	238
371	140	237
372	140	236
373	141	236
374	141	235
375	141	234
376	141	234
377	141	233
378	142	232
379	142	232
380	142	231
381	142	231
382	142	230
383	143	229
384	143	229
385	143	228
386	143	227
387	144	227
388	144	226
389	144	226
390	144	225
391	145	224
392	145	224
393	145	223
394	145	223
395	145	222
396	145	221
397	146	221
398	146	220
399	146	219
400	146	219
401	146	218
402	147	218
403	147	217
404	147	216
405	147	216
406	148	215
407	148	215
408	148	214
409	148	214
410	148	213
411	149	212
412	149	212
413	149	211
414	149	211
415	150	210
416	150	210
417	150	209
418	150	208
419	150	208
420	151	207
421	151	207
422	151	206
423	151	206
424	151	205
425	152	204
426	152	204
427	152	203
428	152	203
429	153	202
430	153	202
431	153	201
432	153	201
433	153	200
434	154	200
435	154	199
436	154	199
437	154	198
438	155	198
439	155	197
440	155	197
441	155	196
442	155	196
443	156	195
444	156	194
445	156	194
446	156	193
447	156	193
448	157	192
449	157	192
450	157	191
451	157	191
452	158	190
453	158	190
454	158	189
455	158	189
456	158	188
457	159	188
458	159	187
459	159	187
460	159	186
461	159	186
462	160	185
463	160	185
464	160	184
465	160	184
466	161	183
467	161	183
468	161	182
469	161	182
470	162	181
471	162	181
472	162	181
473	162	180
474	162	180
475	163	179
476	163	179
477	163	178
478	163	178
479	163	177
480	164	177
481	164	176
482	164	176
483	164	175
484	165	175
485	165	174
486	165	174
487	165	173
488	166	173
489	166	173
490	166	172
491	166	172
492	166	171
493	167	171
494	167	170
495	167	170
496	167	169
497	167	169
498	168	168
499	168	168
500	168	167
501	168	167
502	168	166
503	169	166
504	169	166
505	169	165
506	169	165
507	170	164
508	170	164
509	170	163
510	170	163
511	170	162
512	171	162
513	171	161
514	171	161
515	171	160
516	171	160
517	171	160
518	172	159
519	172	159
520	172	158
521	172	158
522	172	157
523	173	157
524	173	156
525	173	156
526	173	155
527	173	155
528	174	154
529	174	154
530	174	154
531	174	153
532	174	153
533	174	152
534	175	152
535	175	151
536	175	151
537	175	150
538	175	150
539	176	149
540	176	149
541	176	149
542	176	148
543	176	148
544	177	147
545	177	147
546	177	146
547	177	146
548	177	146
549	178	145
550	178	145
551	178	144
552	178	144
553	178	143
554	179	143
555	179	143
556	179	142
557	179	142
558	179	141
559	180	141
560	180	141
561	180	140
562	180	140
563	180	139
564	181	139
565	181	138
566	181	138
567	181	138
568	181	137
569	181	137
570	182	136
571	182	136
572	182	136
573	182	135
574	183	135
575	183	134
576	183	134
577	183	134
578	183	133
579	184	133
580	184	132
581	184	132
582	184	132
583	184	131
584	185	131
585	185	130
586	185	130
587	185	130
588	185	129
589	186	129
590	186	128
591	186	128
592	186	128
593	186	127
594	187	127
595	187	126
596	187	126
597	187	126
598	187	125
599	188	125
600	188	124
601	188	124
602	188	124
603	188	123
604	189	123
605	189	123
606	189	122
607	189	122
608	189	121
609	190	121
610	190	121
611	190	120
612	190	120
613	190	119
614	191	119
615	191	119
616	191	118
617	191	118
618	191	118
619	192	117
620	192	117
621	192	116
622	192	116
623	192	116
624	192	115
625	193	115
626	193	115
627	193	114
628	193	114
629	193	113
630	194	113
631	194	113
632	194	112
633	194	112
634	194	112
635	195	111
636	195	111
637	195	110
638	195	110
639	195	110
640	196	109
641	196	109
642	196	109
643	196	108
644	196	108
645	197	108
646	197	107
647	197	107
648	197	106
649	197	106
650	198	106
651	198	105
652	198	105
653	198	105
654	198	104
655	199	104
656	199	104
657	199	103
658	199	103
659	200	103
660	200	102
661	200	102
662	200	101
663	200	101
664	201	101
665	201	100
666	201	100
667	201	100
668	201	99
669	202	99
670	202	99
671	202	98
672	202	98
673	203	98
674	203	97
675	203	97
676	203	97
677	203	96
678	204	96
679	204	96
680	204	95
681	204	95
682	204	95
683	205	94
684	205	94
685	205	94
686	205	93
687	205	93
688	206	93
689	206	92
690	206	92
691	206	92
692	206	91
693	207	91
694	207	91
695	207	90
696	207	90
697	207	89
698	208	89
699	208	89
700	208	88
701	208	88
702	208	88
703	209	87
704	209	87
705	209	87
706	209	86
707	209	86
708	210	86
709	210	85
710	210	85
711	210	85
712	210	84
713	211	84
714	211	84
715	211	83
716	211	83
717	211	83
718	212	82
719	212	82
720	212	82
721	212	81
722	212	81
723	213	81
724	213	80
725	213	80
726	213	80
727	213	79
728	213	79
729	214	79
730	214	78
731	214	78
732	214	78
733	214	77
734	215	77
735	215	77
736	215	76
737	215	76
738	215	76
739	216	75
740	216	75
741	216	75
742	216	75
743	217	74
744	217	74
745	217	74
746	217	73
747	217	73
748	218	73
749	218	72
750	218	72
751	218	72
752	218	71
753	219	71
754	219	71
755	219	70
756	219	70
757	219	70
758	220	69
759	220	69
760	220	69
761	220	68
762	220	68
763	221	68
764	221	67
765	221	67
766	221	67
767	221	67
768	222	66
769	222	66
770	222	66
771	222	65
772	222	65
773	223	65
774	223	64
775	223	64
776	223	64
777	223	63
778	224	63
779	224	63
780	224	62
781	224	62
782	224	62
783	224	61
784	225	61
785	225	61
786	225	61
787	225	60
788	225	60
789	226	60
790	226	59
791	226	59
792	226	59
793	226	58
794	227	58
795	227	58
796	227	57
797	227	57
798	227	57
799	228	57
800	228	56
801	228	56
802	228	56
803	228	55
804	229	55
805	229	55
806	229	54
807	229	54
808	229	54
809	230	53
810	230	53
811	230	53
812	230	53
813	230	52
814	230	52
815	231	52
816	231	51
817	231	51
818	231	51
819	231	50
820	231	50
821	232	50
822	232	49
823	232	49
824	232	49
825	232	49
826	233	48
827	233	48
828	233	48
829	233	47
830	233	47
831	234	47
832	234	46
833	234	46
834	234	46
835	234	46
836	235	45
837	235	45
838	235	45
839	235	44
840	235	44
841	235	44
842	236	43
843	236	43
844	236	43
845	236	43
846	236	42
847	237	42
848	237	42
849	237	41
850	237	41
851	237	41
852	238	41
853	238	40
854	238	40
855	238	40
856	238	39
857	239	39
858	239	39
859	239	38
860	239	38
861	239	38
862	239	38
863	240	37
864	240	37
865	240	37
866	240	36
867	240	36
868	241	36
869	241	36
870	241	35
871	241	35
872	241	35
873	242	34
874	242	34
875	242	34
876	242	34
877	242	33
878	243	33
879	243	33
880	243	32
881	243	32
882	243	32
883	243	32
884	244	31
885	244	31
886	244	31
887	244	30
888	244	30
889	245	30
890	245	30
891	245	29
892	245	29
893	245	29
894	246	28
895	246	28
896	246	28
897	246	28
898	246	27
899	247	27
900	247	27
901	247	26
902	247	26
903	247	26
904	248	26
905	248	25
906	248	25
907	248	25
908	248	24
909	249	24
910	249	24
911	249	24
912	249	23
913	249	23
914	250	23
915	250	22
916	250	22
917	250	22
918	250	22
919	250	21
920	251	21
921	251	21
922	251	20
923	251	20
924	252	20
925	252	20
926	252	19
927	252	19
928	252	19
929	253	19
930	253	18
931	253	18
932	253	18
933	253	17
934	253	17
935	254	17
936	254	17
937	254	16
938	254	16
939	254	16
940	255	15
941	255	15
942	255	15
943	255	15
944	255	14
945	256	14
946	256	14
947	256	14
948	256	13
949	256	13
950	257	13
951	257	12
952	257	12
953	257	12
954	257	12
955	258	11
956	258	11
957	258	11
958	258	11
959	258	10
960	258	10
961	259	10
962	259	9
963	259	9
964	259	9
965	260	9
966	260	8
967	260	8
968	260	8
969	260	8
970	260	7
971	261	7
972	261	7
973	261	6
974	261	6
975	261	6
976	262	6
977	262	5
978	262	5
979	262	5
980	262	5
981	263	4
982	263	4
983	263	4
984	263	4
985	263	3
986	264	3
987	264	3
988	264	2
989	264	2
990	264	2
991	264	2
992	265	1
993	265	1
994	265	1
995	265	1
996	265	0
997	266	0
998	266	0
999	266	0
